Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
Embajadores;200.0;4;20;38;299;97.0;Embajadores;Centro;Apartment;Entire home/apt;7;2.0;3.0;3.0;Real Bed;200.0;70.0;5;15;strict;;2;1125
La Latina;150.0;3;15;36;37;98.0;Palacio;Centro;Apartment;Entire home/apt;6;2.5;3.0;5.0;Real Bed;115.0;50.0;3;15;strict;;1;1125
Justicia;;0;0;0;0;100.0;Justicia;Centro;Apartment;Entire home/apt;2;1.5;1.0;1.0;Real Bed;120.0;;1;0;flexible;;1;1125
Hortaleza;;2;32;62;337;97.0;Canillas;Hortaleza;Apartment;Private room;3;2.0;1.0;3.0;Real Bed;24.0;;1;25;flexible;;1;1125
Legazpi;90.0;4;4;8;206;94.0;Legazpi;Arganzuela;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;32.0;;1;0;flexible;0.0;3;1125
;;0;5;35;35;90.0;Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;25.0;;1;0;flexible;;1;15
Malasaña;200.0;19;38;68;342;;Universidad;Centro;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;124.0;;3;30;strict;;3;1125
Castellana;250.0;18;31;61;146;87.0;Castellana;Salamanca;Apartment;Entire home/apt;8;2.0;3.0;4.0;Real Bed;143.0;60.0;1;20;strict;;1;30
;;4;21;35;298;86.0;Sol;Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;90.0;15.0;4;15;moderate;;3;15
Carabanchel;;30;60;90;365;72.0;San Isidro;Carabanchel;Bed & Breakfast;Private room;2;2.0;1.0;1.0;Real Bed;35.0;;1;10;flexible;;2;1125
Sol;;4;23;49;316;90.0;Sol;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;36.0;10.0;1;0;strict;;1;10
;150.0;17;47;77;167;;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;62.0;30.0;1;0;strict;;2;1125
Malasaña;;6;21;43;120;;Universidad;Centro;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;85.0;80.0;2;15;strict;;5;180
La Latina;;0;0;0;0;80.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;3.0;3.0;Real Bed;78.0;;1;0;flexible;;2;1125
;;27;57;87;362;89.0;Ibiza;Retiro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;1;1125
Malasaña;;1;25;25;25;90.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;30.0;15.0;1;0;flexible;;3;1125
